ID,Year,Month,Day,Lunar_Year,Lunar_Month,Lunar_Day,Holiday,Totall_Holiday,Temperature_Up,Temperature_Down,Weather,visitor_count
2,2011,1,2,2010,11,28,2,3,6,-6,2,1813
3,2011,1,3,2010,11,29,3,3,7,-5,2,591
4,2011,1,4,2010,11,30,0,0,8,-6,2,498
5,2011,1,5,2010,12,2,0,0,8,-7,2,446
6,2011,1,6,2010,12,3,0,0,7,-6,2,524
7,2011,1,7,2010,12,4,0,0,7,-1,2.5,510
8,2011,1,8,2010,12,5,1,2,10,-1,2.4,880
9,2011,1,9,2010,12,6,2,2,6,-1,4.5,742
10,2011,1,10,2010,12,7,0,0,7,-1,2,622
11,2011,1,11,2010,12,8,0,0,6,-2,2,324
12,2011,1,12,2010,12,9,0,0,5,-4,2,278
13,2011,1,13,2010,12,10,0,0,9,-1,2,497
14,2011,1,14,2010,12,11,0,0,9,-3,2,400
15,2011,1,15,2010,12,12,1,2,13,-2,2.5,575
16,2011,1,16,2010,12,13,2,2,4,-5,4,603
17,2011,1,26,2010,12,23,0,0,6,-2,2.5,401
18,2011,1,29,2010,12,26,0,0,6,-4,2,505
19,2011,1,30,2010,12,27,0,0,5,-3,2,297
20,2011,1,31,2010,12,28,0,0,4,-3,2,524
21,2011,2,1,2010,12,29,0,0,5,-4,2,346
22,2011,2,2,2010,12,30,1,7,6,-1,1,543
23,2011,2,3,2011,1,1,2,7,10,-2,1,536
24,2011,2,4,2011,1,2,3,7,10,-4,1,1784
25,2011,2,5,2011,1,3,4,7,16,1,1,3051
26,2011,2,6,2011,1,4,5,7,14,1,2.1,2950
27,2011,2,7,2011,1,5,6,7,14,-1,1,2489
28,2011,2,8,2011,1,6,7,7,15,1,1.2,2049
29,2011,2,9,2011,1,7,0,0,15,7,2.4,1579
30,2011,2,10,2011,1,8,0,0,10,4,4,1429
31,2011,2,11,2011,1,9,0,0,13,2,5,1371
32,2011,2,12,2011,1,10,1,2,8,1,3,1032
33,2011,2,13,2011,1,11,2,2,13,4,2.1,903
34,2011,2,14,2011,1,12,0,0,12,4,1,911
35,2011,2,15,2011,1,13,0,0,14,2,2,674
36,2011,2,16,2011,1,14,0,0,12,3,2,737
37,2011,2,17,2011,1,15,0,0,11,2,2.4,720
38,2011,2,18,2011,1,16,0,0,8,1,5,550
39,2011,2,19,2011,1,17,1,2,9,3,2,956
40,2011,2,20,2011,1,18,2,2,11,4,2,652
41,2011,2,21,2011,1,19,0,0,12,1,2,798
42,2011,2,22,2011,1,20,0,0,11,1,2,607
43,2011,2,23,2011,1,21,0,0,14,1,2.1,997
44,2011,2,24,2011,1,22,0,0,21,4,1,1029
45,2011,2,25,2011,1,23,0,0,15,7,1.2,1017
46,2011,2,26,2011,1,24,1,2,15,3,2,1561
47,2011,2,27,2011,1,25,2,2,16,6,2,1066
48,2011,2,28,2011,1,26,0,0,17,9,2,1126
49,2011,3,1,2011,1,27,0,0,12,3,2,1079
50,2011,3,2,2011,1,28,0,0,14,7,2,1364
51,2011,3,3,2011,1,29,0,0,13,6,2,1905
52,2011,3,4,2011,1,30,0,0,14,6,2,1811
53,2011,3,5,2011,2,1,1,2,16,4,2,3522
54,2011,3,6,2011,2,2,2,2,10,3,2,2715
55,2011,3,7,2011,2,3,0,0,11,3,2,2276
56,2011,3,8,2011,2,4,0,0,16,3,2.5,5147
